InvoiceNo,Quantity,UnitPrice,CustomerID
555200,24,0.85,17315.0
554974,4,6.95,14031.0
550972,4,0.65,14031.0
576652,3,1.95,17198.0
546157,2,9.95,13502.0
576200,2,2.95,15572.0
577076,12,0.39,14362.0
568909,12,1.25,16818.0
578072,1,6.75,17759.0
560491,2,1.65,12415.0
545721,1,7.9,15039.0
573399,18,0.79,13949.0
551954,1,8.5,14515.0
563745,12,0.79,15159.0
540418,5,0.81,
546237,6,2.55,16625.0
548005,25,0.42,14128.0
539000,4,9.95,13092.0
545715,1,4.13,
C572489,-5,1.65,17119.0
577820,18,3.75,13408.0
555091,1,2.95,12748.0
556106,2,2.95,14056.0
537159,1,2.95,14527.0
565841,1,3.29,
536532,2,7.95,12433.0
572681,25,0.42,13510.0
548309,1,0.85,16657.0
577531,7,5.79,
559133,2,0.65,17861.0
566922,12,2.08,16156.0
545227,24,0.85,12428.0
574074,2,0.83,
569026,10,2.08,16101.0
538163,2,6.75,17841.0
572719,12,1.65,13871.0
552828,25,0.42,13662.0
575922,24,0.83,15681.0
C546730,-1,4.95,18183.0
560267,4,3.25,13880.0
540468,1,2.51,
545701,10,6.75,17107.0
567656,26,0.83,14096.0
575063,3,1.69,16764.0
556917,128,1.65,12415.0
561369,2,0.63,
538449,2,2.1,17085.0
536531,9,3.75,15485.0
C559030,-1,1.95,16571.0
540681,1,7.62,
562377,6,1.65,14535.0
568144,10,1.65,14005.0
554016,6,0.42,13243.0
562717,1,10.79,
554959,2,4.13,
550512,2,0.85,18069.0
578844,4,10.79,
572669,1,1.45,16549.0
553504,3,5.45,13310.0
565117,40,1.69,13089.0
566422,4,6.95,13064.0
536593,2,7.95,16835.0
578041,3,4.25,17338.0
553525,24,0.85,16266.0
548728,8,1.95,13198.0
551660,12,0.83,15271.0
555383,5,1.65,12517.0
578998,1,0.39,15436.0
579777,1,3.29,
557233,3,1.65,15356.0
555924,5,0.83,
558232,2,1.25,17841.0
543021,6,2.55,15421.0
575070,2,12.5,17841.0
544322,24,0.85,14211.0
570019,1,1.25,17841.0
553900,4,9.95,12353.0
579619,12,2.08,18241.0
559200,1,2.1,13291.0
540464,8,3.81,14298.0
548336,600,0.65,13082.0
574257,-3,0.0,
575051,2,9.95,15957.0
568095,6,2.95,14911.0
544646,4,5.45,17075.0
580610,2,3.29,
542112,2,12.75,13168.0
566203,12,1.25,16362.0
578290,12,1.25,13644.0
547202,1,1.65,17841.0
550496,12,1.8,
540114,8,4.25,15498.0
573909,1,4.95,17813.0
576611,10,2.08,17357.0
538658,2,5.95,17969.0
541181,16,4.95,12877.0
577498,1,3.75,15906.0
549682,12,0.85,12596.0
546396,4,2.1,13226.0
567959,20,0.85,12516.0
579093,50,1.25,13081.0
559051,1,24.96,
563404,8,3.75,16303.0
568869,8,0.85,12957.0
558096,2,4.95,15532.0
570637,96,0.19,12530.0
566195,12,1.25,12433.0
559542,2,1.25,17126.0
565232,2,5.79,
555602,12,1.95,16235.0
540154,4,8.47,
565331,12,1.25,16674.0
540121,36,0.21,16145.0
576837,3,1.63,
543172,6,1.63,
555590,24,1.25,17690.0
557466,6,4.15,13815.0
568721,1,8.29,
544684,1,19.96,
537469,24,4.25,17720.0
578307,2,1.95,17290.0
550636,1,8.29,
543979,5,1.65,14606.0
580881,10,2.08,16620.0
549557,3,4.95,14450.0
560576,6,1.65,17287.0
548567,24,1.25,17965.0
549250,1,1.95,14446.0
552325,10,1.65,12490.0
546643,6,2.55,16214.0
554842,4,3.75,14740.0
561214,1,4.13,
547962,12,1.25,12957.0
540468,2,2.51,
579161,5,1.95,17379.0
560567,2,3.29,
550438,2,8.5,15265.0
540646,1,0.85,
544724,24,2.1,15605.0
580505,4,1.25,15867.0
580504,1,8.95,17936.0
578344,1,0.83,
562928,24,0.29,15494.0
546008,1,3.29,
559557,12,2.08,17444.0
572472,12,1.65,14139.0
572509,2,2.08,17004.0
C578144,-3,2.95,16201.0
567805,2,1.25,12854.0
570855,12,0.42,17314.0
573300,1,1.25,16049.0
558758,1,0.39,17939.0
579777,2,0.83,
563477,1,1.25,17097.0
537372,2,4.65,16919.0
559923,1,6.63,
554956,3,3.29,
551142,4,0.83,17613.0
580134,24,0.12,13102.0
542255,6,5.79,
576673,4,0.0,
575138,1,3.29,
557123,10,0.42,15555.0
541827,1,4.13,
569202,6,2.46,
547708,288,1.7,17450.0
555633,2,2.95,14534.0
545812,12,1.65,14214.0
550512,1,0.65,18069.0
569702,1,0.65,14396.0
580903,1,1.25,14606.0
548167,4,4.13,
539466,20,0.42,12668.0
570252,6,2.89,14665.0
574653,10,1.65,12619.0
547921,12,1.25,14766.0
579520,1,2.89,12748.0
548163,3,4.13,
575303,1,1.65,12893.0
540809,24,0.65,18095.0
578852,1,3.75,17841.0
579289,1,1.45,
580289,1,1.25,15856.0
575324,12,2.1,14240.0
567880,6,2.55,15398.0
546388,2,4.96,
547514,6,2.95,17486.0
550542,2,3.29,
556484,6,2.55,16938.0
568531,18,0.42,16713.0
570598,4,3.75,14175.0
C550355,-1,222.75,13811.0
569230,4,1.55,16533.0
542541,1,3.29,
542423,48,0.55,15057.0
570404,1,2.08,16395.0
550911,10,0.85,12354.0
566041,12,1.45,13814.0
541129,1,7.46,
574475,12,0.85,14132.0
550035,30,2.08,15039.0
567901,4,1.63,
549257,1,1.65,14465.0
556072,6,5.45,16126.0
557295,1,18.0,12724.0
571937,4,4.15,14911.0
564642,24,0.42,13527.0
565472,2,5.75,16255.0
542208,120,0.42,16422.0
580126,10,1.95,12562.0
541302,12,0.85,13769.0
553490,1,9.95,13309.0
540639,24,0.65,13107.0
561894,1,0.39,14456.0
561874,1,1.95,16255.0
571035,10,1.65,12446.0
537645,1,3.36,
557012,6,3.75,18241.0
538566,1,8.47,
540550,4,2.95,12539.0
570671,12,1.95,16171.0
541711,12,8.95,14646.0
576837,1,3.29,
556886,12,0.85,12624.0
580138,24,2.89,13199.0
556490,2,8.25,13078.0
578827,1,1.63,
572185,8,3.29,
580094,2,3.75,15904.0
568322,1,8.25,15958.0
561515,2,3.29,
569862,1,1.25,14518.0
548490,4,12.75,12909.0
564755,1,3.29,
544695,10,1.65,14276.0
567300,3,18.0,12724.0
544484,24,1.25,15321.0
553946,6,2.95,15601.0
540414,2,8.5,12481.0
541219,5,8.29,
557514,3,1.65,14667.0
566482,4,3.75,16609.0
555242,24,1.69,16424.0
574711,6,2.95,14517.0
557762,10,1.65,15810.0
549128,36,0.42,16713.0
569846,12,2.1,13422.0
540856,4,14.95,16655.0
537852,12,1.25,17340.0
567656,1,8.29,14096.0
577078,2,3.29,
553350,12,1.25,12871.0
552894,1,3.75,14606.0
560125,1,2.49,18118.0
537160,3,2.1,14161.0
552662,3,2.08,
549185,6,3.75,18272.0
577358,2,1.63,
542115,1,2.08,
579539,6,2.95,14911.0
541830,7,0.42,
567200,24,0.55,16460.0
552315,12,0.85,12700.0
566164,6,5.79,
543909,6,1.45,
547251,12,1.69,17865.0
574022,48,1.79,12594.0
579399,3,4.95,13137.0
539958,3,8.47,
552108,1,2.08,17841.0
578270,1,8.29,14096.0
540953,2,0.42,14587.0
560895,6,2.95,13089.0
576832,12,1.95,13102.0
544339,6,2.95,15228.0
545105,12,2.1,12598.0
C543611,-1,4.95,17850.0
548522,2,4.13,
577768,1,1.25,
C541863,-9,1.06,13798.0
563430,24,1.25,14918.0
570488,2,7.46,14096.0
558904,6,1.63,
548808,2,11.95,17774.0
579098,4,0.39,14606.0
537262,10,1.95,15039.0
C545997,-1,9.95,12679.0
571064,2,2.55,17181.0
552202,8,4.95,12414.0
538071,1,2.51,
559984,1,1.65,16657.0
572986,12,0.42,12681.0
546306,2,0.83,
538208,1,2.55,14037.0
543801,1,2.95,17811.0
567304,3,2.08,14704.0
557324,14,1.63,
568390,6,3.25,17811.0
558761,2,6.95,15033.0
554380,8,4.95,16709.0
558196,6,1.25,16033.0
551653,2,8.5,13282.0
536623,24,0.42,15601.0
539333,4,4.95,13627.0
542420,6,0.85,17180.0
552036,2,2.1,12748.0
541104,1,74.96,
536876,6,1.84,
546486,1,7.95,15039.0
550631,2,8.5,15225.0
539492,1,0.85,
579458,1,4.95,16549.0
575324,12,0.85,14240.0
581020,48,1.85,17511.0
560773,2,2.46,
567850,12,1.65,15067.0
569202,1,5.79,
568346,6,3.29,14096.0
544323,1,0.83,
570229,1,4.95,15756.0
537434,2,1.45,
537852,13,0.85,17340.0
572550,7,0.83,
572762,6,4.25,15240.0
537434,7,1.28,
541827,1,3.32,
576617,1,3.29,
542629,24,1.95,12731.0
C549783,-5,3.95,16558.0
547387,10,1.95,12539.0
565431,5,1.45,14965.0
564093,2,14.95,14930.0
574591,3,6.95,15745.0
542103,24,1.25,13198.0
567092,6,2.95,13196.0
575059,1,1.25,14071.0
568591,10,2.08,17088.0
567288,2,1.25,16906.0
538349,1,5.94,
577038,6,1.25,14796.0
581023,2,3.29,
540093,2,2.95,16725.0
569246,1,4.13,14096.0
536531,9,3.75,15485.0
571716,3,8.29,
564489,4,4.15,15950.0
541596,9,1.45,17602.0
558774,1,0.83,
554094,1,1.25,15716.0
564974,1,15.79,
578539,12,1.25,
536876,1,2.51,
559330,4,3.29,17696.0
552658,1,3.95,14534.0
539103,24,2.55,16985.0
569037,3,2.95,13263.0
543466,12,1.25,16713.0
580115,1,2.46,
556828,3,1.65,17284.0
543166,1,16.95,13488.0
578065,1,13.29,
550467,2,1.25,18009.0
562454,10,1.25,15128.0
