INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
136463545,04/26/2014,00:04:00,BROOKLYN,OUTSIDE,77,0.0,STREET,,1003540,185503,40.67581858,-73.93045675
144548077,07/15/2015,18:17:00,QUEENS,INSIDE,103,0.0,COMMERCIAL,SMALL MERCHANT,1040743,196164,40.704923,-73.796244
182931019,05/21/2018,00:30:00,BRONX,INSIDE,43,0.0,DWELLING,MULTI DWELL - APT BUILD,1022816,238673,40.821694,-73.860656
193982311,02/25/2019,11:00:00,QUEENS,OUTSIDE,112,0.0,STREET,,1026311,207207,40.735312,-73.848225
94036725,12/14/2013,22:36:00,BROOKLYN,OUTSIDE,73,0.0,STREET,,1009013,179122,40.658293,-73.910746
202804357,09/23/2019,11:45:00,MANHATTAN,OUTSIDE,23,2.0,HOUSING,MULTI DWELL - APT BUILD,998969,229216,40.795817,-73.946839
74364353,08/29/2010,11:10:00,BROOKLYN,OUTSIDE,69,0.0,STREET,COMMERCIAL BLDG,1014986,170310,40.634093,-73.889261
109340974,03/30/2014,16:09:00,BROOKLYN,INSIDE,81,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1003207,190085,40.688398,-73.931641
63256140,06/30/2009,03:28:00,BRONX,OUTSIDE,43,0.0,STREET,,1020845,238507,40.821257,-73.86778
46181702,05/02/2008,16:38:00,BROOKLYN,INSIDE,77,0.0,DWELLING,MULTI DWELL - APT BUILD,997643,184003,40.671722,-73.95172
34930537,10/09/2007,14:34:00,QUEENS,OUTSIDE,106,0.0,STREET,MULTI DWELL - APT BUILD,1024624,180904,40.663134,-73.854475
198255470,06/09/2019,22:20:00,BRONX,OUTSIDE,42,0.0,STREET,,1015667,243850,40.835933,-73.886463
86588220,09/04/2012,21:40:00,BRONX,OUTSIDE,48,0.0,STREET,GAS STATION,1016500,248419,40.848469,-73.88343
36091704,11/30/2007,03:18:00,QUEENS,OUTSIDE,105,0.0,STREET,,1056797,184358,40.67241,-73.738472
86470687,08/28/2012,02:56:00,BRONX,OUTSIDE,43,0.0,STREET,,1021279,244027,40.836396,-73.866182
10137428,01/14/2006,02:00:00,MANHATTAN,OUTSIDE,26,0.0,STREET,GROCERY/BODEGA,997083,236928,40.816989,-73.953638
83392022,02/27/2012,20:48:00,BRONX,OUTSIDE,48,0.0,STREET,,1014890,250840,40.855131,-73.889241
224173086,02/09/2021,19:50:00,QUEENS,OUTSIDE,113,0.0,STREET,PVT HOUSE,1052650,193294,40.696961,-73.753326
234143773,09/27/2021,10:20:00,BROOKLYN,OUTSIDE,71,0.0,STREET,MULTI DWELL - APT BUILD,1003552,181952,40.666074,-73.930421
24626212,09/30/2006,22:05:00,BRONX,OUTSIDE,49,0.0,STREET,MULTI DWELL - APT BUILD,1021375,246471,40.843112,-73.86582
88890624,01/30/2013,01:20:00,MANHATTAN,INSIDE,9,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,987496,203963,40.7265156408,-73.98829024376
79822597,07/15/2011,13:47:00,BROOKLYN,OUTSIDE,75,0.0,STREET,MULTI DWELL - APT BUILD,1014738,181407,40.664545,-73.890103
35215532,10/20/2007,23:59:00,BRONX,OUTSIDE,52,0.0,STREET,,1014160,255647,40.868327,-73.891858
79025835,05/30/2011,14:33:00,BRONX,OUTSIDE,40,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1005919,236106,40.814714,-73.921717
222890432,01/10/2021,00:49:00,BROOKLYN,INSIDE,75,0.0,DWELLING,MULTI DWELL - APT BUILD,1018414,183295,40.669714,-73.876842
73620301,07/11/2010,06:27:00,QUEENS,OUTSIDE,106,0.0,STREET,,1036423,191312,40.69163019,-73.81186405
81002219,10/03/2011,05:28:00,BROOKLYN,OUTSIDE,73,0.0,STREET,,1010169,178743,40.657256,-73.906583
46654924,05/22/2008,23:55:00,QUEENS,OUTSIDE,114,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1001955,216397,40.760627,-73.93609
92718835,09/21/2013,21:10:00,BRONX,INSIDE,40,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1009349,236355,40.815382,-73.909324
78656125,05/10/2011,00:50:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1020262,184219,40.672243,-73.870176
90054889,04/11/2013,01:42:00,BROOKLYN,OUTSIDE,75,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1017631,180181,40.66116897,-73.87968306
317958644,12/25/2025,02:02:00,BRONX,OUTSIDE,52,0.0,STREET,,1017325,259857,40.879869,-73.880394
59171355,02/28/2009,02:32:00,BRONX,INSIDE,50,0.0,COMMERCIAL,BAR/NIGHT CLUB,1012824,271127,40.91081,-73.89662
94619409,01/24/2014,16:16:00,BROOKLYN,OUTSIDE,90,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1000582,196129,40.704991,-73.941093
140351125,12/29/2014,17:55:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1016231,181349,40.664391,-73.884722
35920656,11/25/2007,07:51:00,BROOKLYN,OUTSIDE,73,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1010625,182632,40.667922,-73.904925
231969565,08/08/2021,17:46:00,BROOKLYN,OUTSIDE,77,0.0,STREET,,1004556,183513,40.670355,-73.926797
310707257,08/05/2025,00:50:00,MANHATTAN,OUTSIDE,7,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,989577,198999,40.71289,-73.980784
216157555,08/04/2020,03:30:00,MANHATTAN,OUTSIDE,10,0.0,STREET,,985514,215119,40.757138,-73.995438
89562422,03/11/2013,04:40:00,BRONX,OUTSIDE,50,0.0,STREET,FAST FOOD,1010139,258775,40.876914,-73.906381
311110783,08/12/2025,19:30:00,QUEENS,OUTSIDE,102,0.0,STREET,,1028531,189548,40.686842,-73.840335
