schoolyear,gradeLevel,classPeriod,classType,schoolName,gradePercentage,avid,sped,migrant,ell,student_ID
2023-2024,6,3.0,MAT,North Junior High,94.0,Y,N,N,N,E8PTS7U68
2021-2022,7,5.0,SOC,Allfeather Middle School,91.0,N,N,N,N,Z5V5S2O5E
2024-2025,6,3.0,SOC,South Junior High,66.0,N,N,N,N,T7S9ZA37P
2023-2024,0,8.0,SCI,Cloudy Elementary School,92.9,N,N,N,N,FZ77YP8Q4
2023-2024,2,2.0,ART,Rocky Elementary School,98.6,Y,N,Y,N,R9ZP6GL37
2023-2024,0,5.0,ENG,Grand River Elementary School,63.1,Y,Y,Y,Y,BJA9E7C66
2021-2022,6,7.0,SOC,Allfeather Middle School,95.0,Y,Y,N,N,245LQ2RAA
2021-2022,8,5.0,MAT,North Junior High,80.9,N,Y,N,N,T1JH09Q8D
2023-2024,5,5.0,ENG,Elk Meadow Elementary School,83.8,Y,N,N,N,NET912TV4
2024-2025,1,2.0,ART,Gale Elementary School,100.0,Y,Y,N,N,45AQFCG79
2024-2025,8,5.0,SCI,Allfeather Middle School,73.1,Y,N,N,Y,4PB0MZ48O
2022-2023,0,6.0,ENG,Washington Stone Elementary School,100.0,Y,N,N,N,05J7Z5ZER
2018-2019,6,5.0,ENG,North Junior High,93.6,Y,N,N,N,R7B9RZ39A
2022-2023,6,3.0,SOC,West Junior High,70.2,N,N,N,N,5G1KNTZ37
2023-2024,4,7.0,MAT,Grand River Elementary School,68.7,Y,N,N,N,8MZCD10Z5
2023-2024,6,5.0,SCI,South Junior High,101.1,N,N,N,N,F877EA3SL
2022-2023,2,3.0,MUS,Leafy Elementary School,100.0,Y,Y,N,N,29X3MD2FB
2021-2022,7,3.0,ART,West Junior High,99.1,N,N,N,N,7RYPTW936
2023-2024,1,6.0,SOC,Seaside Elementary School,0.0,Y,N,N,N,E387BGS5G
2020-2021,7,1.0,ENG,North Junior High,88.8,N,N,N,N,WUH2B72S5
2021-2022,8,7.0,ELE,West Junior High,84.4,Y,N,Y,N,3LX8TBD84
2024-2025,5,5.0,ENG,Maria Flowers Elementary School,62.4,Y,N,Y,Y,6MK3KTP35
2022-2023,1,9.0,SOC,Washington Stone Elementary School,95.0,Y,N,N,N,5C2HKA8D3
2018-2019,7,2.0,ELE,South Junior High,93.6,Y,N,N,N,3GJOF778L
2024-2025,2,4.0,PE,Cloudy Elementary School,100.0,Y,N,N,N,D6CIB57N0
2024-2025,4,3.0,MUS,Seaside Elementary School,100.0,Y,N,Y,N,DBQ864ME5
2024-2025,8,3.0,ELE,Allfeather Middle School,84.4,N,N,N,N,4JIW0PV37
2023-2024,5,7.0,MAT,Rocky Elementary School,53.0,Y,N,Y,Y,72T2M9KPI
2018-2019,8,6.0,MAT,West Junior High,81.0,Y,N,N,N,2K0V3P2XO
2024-2025,6,7.0,SCI,North Junior High,100.0,Y,N,N,N,0C1MRF9F8
2024-2025,0,7.0,MAT,Leafy Elementary School,50.0,Y,Y,N,N,7X2BHB0E3
2022-2023,3,4.0,PE,Hall Elementary School,95.0,Y,N,N,N,6QGZ621YM
2022-2023,6,3.0,ENG,Allfeather Middle School,78.8,N,N,N,N,64LU6ET5M
2024-2025,0,4.0,PE,Rocky Elementary School,100.0,Y,N,N,N,I3A3A96PM
2023-2024,7,1.0,ENG,Allfeather Middle School,34.5,N,N,Y,N,1MB3KIQ13
2024-2025,6,3.0,SCI,East Junior High,91.0,N,N,N,N,JB24WT89N
2022-2023,7,1.0,MUS,Allfeather Middle School,70.5,N,N,N,N,8GDE0F86S
2023-2024,8,6.0,ENG,Allfeather Middle School,72.3,Y,N,N,N,5LTFYO661
2021-2022,8,2.0,MAT,West Junior High,81.0,Y,N,N,N,P53SFD8H5
